B2B,Category,Amount,Order ID,SalesPercentage
False,T-shirt,38909515.55,47465,49.88483181003396
False,Shirt,21138498.97,46196,27.101094704712303
False,Blazzer,11131800.4,14877,14.271778582883663
False,Trousers,5313694.3,10084,6.812542965352756
False,Perfume,776737.47,1131,0.9958339882620639
False,Wallet,455265.18,889,0.5836831071330272
False,Socks,149161.83,405,0.19123632604638988
False,Shoes,123101.76,142,0.15782541895768132
False,Watch,915.0,2,0.001173096618165966
True,T-shirt,297241.1,317,50.25380495249042
True,Shirt,159271.11,303,26.92756585985803
True,Blazzer,83303.72,107,14.08395035779667
True,Trousers,32592.0,57,5.510247442266793
True,Perfume,12682.19,15,2.144145956364798
True,Wallet,3143.0,8,0.5313791025725494
True,Shoes,1651.0,2,0.2791304162733945
True,Socks,1595.67,4,0.2697759123773274
