Date,Amount,OrderCount
2022-03-31,101683.85,171
2022-04-01,865478.6,1470
2022-04-02,913101.53,1555
2022-04-03,1011763.38,1691
2022-04-04,882059.17,1465
2022-04-05,950544.05,1617
2022-04-06,886985.26,1557
2022-04-07,909899.35,1535
2022-04-08,1018617.61,1678
2022-04-09,972076.48,1619
2022-04-10,1075234.03,1754
2022-04-11,949559.27,1562
2022-04-12,887194.03,1451
2022-04-13,977017.3,1651
2022-04-14,1113487.56,1883
2022-04-15,1024542.13,1853
2022-04-16,1010056.23,1759
2022-04-17,940843.9,1604
2022-04-18,885403.46,1568
2022-04-19,960055.36,1678
2022-04-20,1091926.41,1850
2022-04-21,971966.58,1746
2022-04-22,978033.62,1657
2022-04-23,1093536.62,1816
2022-04-24,1082483.95,1810
2022-04-25,977764.88,1665
2022-04-26,907039.09,1560
2022-04-27,853801.58,1462
2022-04-28,836128.52,1416
2022-04-29,836000.89,1458
2022-04-30,973599.43,1678
2022-05-01,1079957.52,1809
2022-05-02,1172327.06,2079
2022-05-03,1190672.59,2085
2022-05-04,1209364.17,2015
2022-05-05,894704.17,1467
2022-05-06,909530.13,1386
2022-05-07,911693.76,1433
2022-05-08,902173.06,1472
2022-05-09,810945.89,1309
2022-05-10,723616.88,1186
2022-05-11,740395.52,1180
2022-05-12,693445.93,1107
2022-05-13,736609.76,1117
2022-05-14,768171.9,1210
2022-05-15,894645.67,1410
2022-05-16,763146.91,1201
2022-05-17,764918.63,1200
2022-05-18,797542.08,1264
2022-05-19,778026.25,1207
2022-05-20,704908.01,1103
2022-05-21,697790.62,1091
2022-05-22,777552.83,1214
2022-05-23,755930.56,1186
2022-05-24,759458.39,1220
2022-05-25,819478.34,1283
2022-05-26,767619.6,1214
2022-05-27,813334.57,1294
2022-05-28,850986.6,1347
2022-05-29,816996.49,1303
2022-05-30,817463.77,1258
2022-05-31,903069.09,1390
2022-06-01,935430.21,1523
2022-06-02,896672.82,1412
2022-06-03,738190.19,1228
2022-06-04,892476.1,1437
2022-06-05,989093.03,1586
2022-06-06,955276.13,1533
2022-06-07,965557.26,1535
2022-06-08,965472.09,1590
2022-06-09,959183.09,1568
2022-06-10,798796.94,1271
2022-06-11,863796.34,1369
2022-06-12,955246.82,1575
2022-06-13,877674.46,1396
2022-06-14,899234.01,1429
2022-06-15,785089.32,1260
2022-06-16,778813.5,1253
2022-06-17,747349.1,1167
2022-06-18,741802.38,1193
2022-06-19,729840.6,1181
2022-06-20,756764.91,1235
2022-06-21,804470.44,1319
2022-06-22,778915.31,1304
2022-06-23,654729.48,1090
2022-06-24,630349.29,1028
2022-06-25,654234.58,1026
2022-06-26,773610.02,1210
2022-06-27,714124.67,1111
2022-06-28,772085.53,1210
2022-06-29,411530.76,658
