Fulfilment,Status,Count
Amazon,Cancelled,11475
Amazon,Pending,415
Amazon,Shipped,77815
Amazon,Shipping,8
Merchant,Cancelled,6859
Merchant,Pending,243
Merchant,Pending - Waiting for Pick Up,281
Merchant,Shipped - Damaged,1
Merchant,Shipped - Delivered to Buyer,28756
Merchant,Shipped - Lost in Transit,5
Merchant,Shipped - Out for Delivery,35
Merchant,Shipped - Picked Up,973
Merchant,Shipped - Rejected by Buyer,11
Merchant,Shipped - Returned to Seller,1954
Merchant,Shipped - Returning to Seller,145
