State,TotalAmount,AvgAmount,Orders,Units,AvgOrderValue,UnitsPerOrder
MAHARASHTRA,13340333.05,598.9732870869253,20756,20338,642.7217696087879,0.9798612449412218
KARNATAKA,10480694.22,604.9811948741631,16162,15901,648.4775535206039,0.9838510085385472
TELANGANA,6915018.08,610.3281624007061,10394,10253,665.2894054262074,0.9864344814315952
UTTAR PRADESH,6823947.08,640.9869509674995,10057,9507,678.527103509993,0.945311723177886
TAMIL NADU,6519182.3,567.477567896936,10507,10416,620.4608641857809,0.9913391072618255
DELHI,4232738.97,624.4819961640602,6347,6151,666.8881314006617,0.9691192689459587
KERALA,3823559.58,581.3531366884598,6097,5805,627.1214662948992,0.9521075938986386
WEST BENGAL,3507212.82,588.2611237839651,5645,5316,621.2954508414526,0.941718334809566
ANDHRA PRADESH,3217859.86,592.9352975861433,4970,4816,647.4567122736419,0.9690140845070423
HARYANA,2880355.99,653.141947845805,4134,4062,696.7479414610548,0.9825834542815675
Gujarat,2726265.82,608.2699286033021,4161,4142,655.1948618120643,0.9954337899543378
RAJASTHAN,1716584.4,647.2791855203619,2449,2368,700.9327888934258,0.9669252756227031
MADHYA PRADESH,1594453.98,629.7211611374407,2375,2263,671.3490442105264,0.9528421052631579
BIHAR,1392656.32,667.9406810551559,1986,1846,701.2368177240685,0.9295065458207452
ODISHA,1372127.63,648.7601087470449,1999,1890,686.4070185092546,0.9454727363681841
PUNJAB,1180896.89,631.1581453768038,1761,1700,670.5831289040317,0.9653605905735377
ASSAM,1018654.2,612.1719951923077,1601,1484,636.2612117426609,0.9269206745783886
UTTARAKHAND,974425.55,627.8515141752578,1478,1384,659.2865696887686,0.9364005412719891
JHARKHAND,920173.21,631.5533356211394,1381,1285,666.3093482983345,0.9304851556842868
GOA,619775.85,562.4100272232305,1045,1022,593.0869377990431,0.9779904306220095
CHHATTISGARH,569591.83,626.6136743674367,870,822,654.7032528735632,0.9448275862068966
HIMACHAL PRADESH,503823.51,638.5595817490495,750,676,671.76468,0.9013333333333333
JAMMU & KASHMIR,457598.74,651.8500569800569,669,618,684.0040956651719,0.9237668161434978
MANIPUR,209354.99,677.5242394822006,280,287,747.6963928571428,1.025
CHANDIGARH,203339.05,629.5326625386997,304,295,668.8784539473684,0.9703947368421053
PUDUCHERRY,189807.24,546.9949279538905,305,305,622.3188196721311,1.0
ANDAMAN & NICOBAR,157424.62,614.939921875,241,225,653.2141908713693,0.9336099585062241
NAGALAND,143430.67,779.5145108695652,167,180,858.8662874251497,1.0778443113772456
SIKKIM,138125.66,683.7903960396039,194,179,711.9879381443299,0.9226804123711341
MEGHALAYA,118949.9,583.0877450980391,191,184,622.7743455497382,0.9633507853403142
ARUNACHAL PRADESH,95235.0,675.4255319148937,128,130,744.0234375,1.015625
Delhi,94454.87,575.9443292682927,156,150,605.4799358974359,0.9615384615384616
TRIPURA,92548.4,612.9033112582781,143,134,647.1916083916084,0.9370629370629371
New Delhi,47109.95,581.6043209876543,76,72,619.8677631578947,0.9473684210526315
DADRA AND NAGAR,42138.92,601.9845714285714,60,58,702.3153333333333,0.9666666666666667
MIZORAM,41213.71,549.5161333333333,71,68,580.4747887323944,0.9577464788732394
LADAKH,38388.43,892.7541860465117,42,40,914.0102380952382,0.9523809523809523
Rajasthan,37252.76,677.3229090909091,49,53,760.2604081632653,1.0816326530612246
Punjab,22013.0,647.4411764705883,32,30,687.90625,0.9375
Bihar,19793.0,733.074074074074,27,27,733.074074074074,1.0
delhi,16553.62,788.267619047619,17,20,973.7423529411764,1.1764705882352942
Goa,15781.0,526.0333333333333,30,28,526.0333333333333,0.9333333333333333
Odisha,12429.76,591.8933333333333,21,18,591.8933333333333,0.8571428571428571
Chandigarh,9054.62,823.1472727272728,11,10,823.1472727272728,0.9090909090909091
punjab,8622.0,615.8571428571429,13,13,663.2307692307693,1.0
rajasthan,3946.0,657.6666666666666,5,6,789.2,1.2
LAKSHADWEEP,3175.29,793.8225,4,3,793.8225,0.75
Sikkim,2703.0,901.0,3,3,901.0,1.0
Manipur,2631.0,526.2,5,5,526.2,1.0
goa,2467.0,493.4,4,5,616.75,1.25
Arunachal Pradesh,1935.0,645.0,3,2,645.0,0.6666666666666666
bihar,1432.0,1432.0,1,1,1432.0,1.0
Orissa,1140.0,570.0,2,2,570.0,1.0
Rajshthan,1126.0,375.3333333333333,2,2,563.0,1.0
RJ,1040.0,520.0,2,2,520.0,1.0
NL,961.0,480.5,2,2,480.5,1.0
Meghalaya,921.9100000000001,307.30333333333334,3,0,307.30333333333334,0.0
Mizoram,735.0,735.0,1,1,735.0,1.0
Nagaland,664.0,664.0,1,1,664.0,1.0
Arunachal pradesh,602.0,301.0,2,2,301.0,1.0
orissa,597.0,597.0,1,1,597.0,1.0
Puducherry,568.0,568.0,1,1,568.0,1.0
Punjab/Mohali/Zirakpur,568.0,568.0,1,1,568.0,1.0
Pondicherry,529.0,529.0,1,1,529.0,1.0
rajsthan,521.0,521.0,1,1,521.0,1.0
AR,493.0,493.0,1,1,493.0,1.0
Rajsthan,443.0,443.0,1,1,443.0,1.0
PB,399.0,399.0,1,1,399.0,1.0
APO,0.0,0.0,1,0,0.0,0.0
